id: 43757142 	pid: None 	ts: 2010-04-07T23:54
id: 43759655 	pid: None 	ts: 2010-04-08T00:06
id: 43761926 	pid: None 	ts: 2010-04-08T00:17
id: 43775382 	pid: 43741172 	ts: 2010-04-08T01:24
id: 43775361 	pid: 43717612 	ts: 2010-04-08T01:24
id: 43775829 	pid: 43727850 	ts: 2010-04-08T01:26
id: 43776236 	pid: None 	ts: 2010-04-08T01:28
id: 43779112 	pid: None 	ts: 2010-04-08T01:43
id: 43796552 	pid: 43779112 	ts: 2010-04-08T03:09
id: 43797199 	pid: None 	ts: 2010-04-08T03:12
id: 43799893 	pid: 43729184 	ts: 2010-04-08T03:26
id: 43804348 	pid: None 	ts: 2010-04-08T03:49
id: 43805448 	pid: None 	ts: 2010-04-08T03:55
id: 43814972 	pid: None 	ts: 2010-04-08T04:48
id: 43815826 	pid: None 	ts: 2010-04-08T04:53
id: 43818869 	pid: None 	ts: 2010-04-08T05:07
id: 43822334 	pid: 43727850 	ts: 2010-04-08T05:24
id: 43826847 	pid: None 	ts: 2010-04-08T05:49
id: 43832531 	pid: None 	ts: 2010-04-08T06:28
id: 43836432 	pid: None 	ts: 2010-04-08T06:56
id: 43839687 	pid: None 	ts: 2010-04-08T07:13
id: 43840464 	pid: 43775361 	ts: 2010-04-08T07:19
id: 43841183 	pid: 40959863 	ts: 2010-04-08T07:28
id: 43841620 	pid: 43719735 	ts: 2010-04-08T07:35
id: 43843000 	pid: 43729184 	ts: 2010-04-08T07:53
id: 43843155 	pid: None 	ts: 2010-04-08T07:56
id: 43845299 	pid: 43717612 	ts: 2010-04-08T08:16
id: 43845197 	pid: None 	ts: 2010-04-08T08:16
id: 43845339 	pid: None 	ts: 2010-04-08T08:17
id: 43853543 	pid: None 	ts: 2010-04-08T11:32
id: 43854006 	pid: None 	ts: 2010-04-08T11:40
id: 43855574 	pid: None 	ts: 2010-04-08T12:04
id: 43855686 	pid: 43840464 	ts: 2010-04-08T12:06
id: 43857786 	pid: 43855686 	ts: 2010-04-08T12:36
id: 43859963 	pid: None 	ts: 2010-04-08T13:02
id: 43860470 	pid: None 	ts: 2010-04-08T13:08
id: 43862683 	pid: 43236695 	ts: 2010-04-08T13:21
id: 43863608 	pid: 43854006 	ts: 2010-04-08T13:30
id: 43865602 	pid: 43843155 	ts: 2010-04-08T13:48
